GFA,Class
[(Fe0.7Co0.3)0.72Mo0.04B0.24]94Dy6,BMG
[(Fe80Co20)0.75B0.20Si0.05]96Nb4,BMG
[(Fe80Co20)0.72Mo0.04B0.24]94Dy6,BMG
[(Fe0.9Co0.1)0.75B0.20Si0.05]96Nb4,BMG
[(Fe0.9Co0.1)0.72Mo0.04B0.24]94Dy6,BMG
[(Ni0.6Fe0.4)0.75B0.20Si0.05]96Nb4,BMG
[(Ni0.7Fe0.3)0.75B0.20Si0.05]96Nb4,BMG
[(Ni0.8Fe0.2)0.75B0.20Si0.05]96Nb4,BMG
[(Ni0.9Fe0.1)0.75B0.20Si0.05]96Nb4,BMG
Al20Cr20Mo20Si20Ti20,BMG
Al20Cr20Ta20Ti20Zr20,BMG
Au2Zr48Cu34Al8Ag8,BMG
Au49Ag5.5Pd2.3Cu26.9Si16.3,BMG
Au4Zr48Cu32Al8Ag8,BMG
Au6Zr48Cu30Al8Ag8,BMG
Ce65Al10Ni10Cu10Nb5,BMG
Co50Cr15Mo14C15B6,BMG
Cu45Ni5Ag10Zr30Ti10,BMG
Cu47Ti33Nb11Ni8Si1,BMG
Cu47Ti33Zr11Ni8Si1,BMG
Cu20Nb20Ni20Ti20Zr20,BMG
Dy46Al24Co18Fe2Y10,BMG
Er20Tb20Dy20Ni20Al20,BMG
Fe2Zr48Cu34Al8Ag8,BMG
Fe63C15Mo14Er2B6,BMG
Fe64Cr10Mo9C15Er2,BMG
Fe70Nb4Hf3Y3B20,BMG
Fe71Nb4Hf3Y2B20,BMG
Fe72Nb4Hf3Y1B20,BMG
Fe74.5Mo5.5P12.5C5B2.5,BMG
Fe76.0C7.0Si3.3B5.0P8.7,BMG
Fe79P10C4B4Si3,BMG
Gd51Al24Co20Zr4Nb1,BMG
Gd55Al25Cu10Co5Ni5,BMG
Hf2Zr46Cu36Al8Ag8,BMG
Hf46Nb2Cu29.25Ni9.75Al13,BMG
Hf49Ta2Cu27.75Ni9.25Al12,BMG
Hf4Zr44Cu36Al8Ag8,BMG
Hf6Zr42Cu36Al8Ag8,BMG
La32Ce32Al16Ni5Cu15,BMG
La55Al15Ni10Cu10Co10,BMG
La55Al25Ni5Cu10Co5,BMG
La62.5Al12.5Ag5Cu15Co5,BMG
La62.5Al12.5Ag5Cu15Fe5,BMG
La62.5Al12.5Ag5Cu17.5Co2.5,BMG
La62.5Al12.5Ag5Cu17.5Fe2.5,BMG
Mg65Cu15Ag10Y2Gd8,BMG
Mg65Cu15Ag10Y4Gd6,BMG
Mg65Cu15Ag5Pd5Gd10,BMG
Mg65Y10Cu15Ag5Pd5,BMG
Mo52Cr14Fe14P12B8,BMG
Nb2Zr46Cu36Al8Ag8,BMG
Ni2Zr48Cu34Al8Ag8,BMG
Ni40Cu5Ti16.5Zr28.5Al10,BMG
Ni40Cu5Ti17Zr28Al10,BMG
Ni40Cu6Ti16Zr28Al10,BMG
Ni42Ti20Zr25Al8Cu5,BMG
Ni4Zr48Cu32Al8Ag8,BMG
Ni59Zr20Ti16Si2Sn3,BMG
Ni60Zr20Ti2.5Nb12.5Al5,BMG
Ni60Zr20Ti5Nb10Al5,BMG
Ni60Zr20Ti7.5Nb7.5Al5,BMG
Ni61Zr22Nb7Al4Ta6,BMG
Ni6Zr48Cu30Al8Ag8,BMG
Pd2Zr48Cu34Al8Ag8,BMG
Pd4Zr48Cu32Al8Ag8,BMG
Pd6Zr48Cu30Al8Ag8,BMG
Pd79Ag3.5P6Si9.5Ge2,BMG
Pd79Cu2Ag4Si10P5,BMG
Pd79Cu3Ag3Si10P5,BMG
Pd79Cu4Ag2Si10P5,BMG
Pd79Cu5Ag1Si10P5,BMG
Pd20Pt20Cu20Ni20P20,BMG
Pr60Al10Ni10Cu10Fe10,BMG
Pr60Al10Ni10Cu12Fe8,BMG
Pr60Al10Ni10Cu14Fe6,BMG
Pr60Al10Ni10Cu16Fe4,BMG
Pr60Al10Ni10Cu18Fe2,BMG
Pr60Al10Ni10Cu2Fe18,BMG
Pr60Al10Ni10Cu5Fe15,BMG
Sm60Al10Cu5Co15Fe10,BMG
Sr40Yb20Mg20Zn15Cu5,BMG
Sr20Ca20Yb20Mg20Zn20,BMG
Ti2Zr46Cu36Al8Ag8,BMG
Ti40Zr25Ni3Cu12Be20,BMG
Ti40Zr25Ni8Cu9Be18,BMG
Ti42.5Zr2.5Hf5Cu42.5Ni7.5,BMG
Ti43.15Zr9.59Cu36.24Ni9.06Sn1.96,BMG
Ti44.10Zr9.80Cu37.04Ni7.06Sn2.00,BMG
Ti50Ni15Cu25Sn3Be7,BMG
Ti50Zr15Cu9Ni8Be18,BMG
Ti55Zr10Cu9Ni8Be18,BMG
Tm40Y15Al25Co10Ni10,BMG
Y36Sc20Al24Co10Ni10,BMG
Zr17Ta16Ti19Nb22Si26,BMG
Zr25Ti30Cu7.5Be27.5Al10,BMG
Zr30Ti30Cu7.5Be27.5Al5,BMG
Zr33Ti30Cu7.5Be27.5Al2,BMG
Zr38.5Ti16.5Ni9.75Cu15.25Be20,BMG
Zr39.88Ti15.12Ni9.98Cu13.77Be21.25,BMG
Zr41.2Ti13.8Cu12.5Ni10Be22.5,BMG
Zr41Ti14Cu12.5Be22.5Fe10,BMG
Zr41Ti14Cu12.5Ni10Be22.5,BMG
Zr42.63Ti12.37Cu11.25Ni10Be23.75,BMG
Zr44Ti11Cu10Ni10Be25,BMG
Zr45.38Ti9.62Cu8.75Ni10Be26.25,BMG
Zr45.4Ti9.6Cu10.15Ni8.6Be26.25,BMG
Zr45Nb10Cu13Ni10Be22,BMG
Zr46.75Ti8.25Cu7.5Ni10Be27.5,BMG
Zr46Cu27.64Ag8.36Al8Be10,BMG
Zr46Cu31.64Ag8.36Al8Be6,BMG
Zr47Ti8Cu7.5Ni10Be27.5,BMG
Zr48Nb8Cu12Fe8Be24,BMG
Zr48Nb8Cu14Ni12Be18,BMG
Zr52.25Cu28.5Ni4.75Al9.5Ta5,BMG
Zr52.5Cu17.9Ni14.6Al10Ti5,BMG
Zr52.5Nb5Cu17.9Ni14.6Al10,BMG
Zr53.1Ti5.4Cu19.8Ni11.7Al10,BMG
Zr53Al14Ni10Cu19Y4,BMG
Zr53Ti5Cu20Ni12Al10,BMG
Zr54Al15Ni10Cu19Y2,BMG
Zr55Nb9Cu15Ni11Al10,BMG
Zr55Ti5Al10Cu20Ni10,BMG
Zr56.6Cu17.3Ni12.5Al9.6Ti4,BMG
Zr57Nb5Al10Cu15.4Ni12.6,BMG
Zr57Nb5Al10Ni15.4Cu12.6,BMG
Zr57Ti5Al10Cu20Ni8,BMG
Zr60Nb3Cu14Ni13Al10,BMG
Zr61Cu15.8Ni12.8Al7.9Sn2.5,BMG
Zr61Cu16.3Ni12.8Al7.9Sn2,BMG
Zr61Cu16.8Ni12.8Al7.9Sn1.5,BMG
Zr61Cu17.3Ni12.8Al7.9Sn1,BMG
Zr61Cu17.8Ni12.8Al7.9Sn0.5,BMG
Zr65Al7.5Ni10Cu7.5Pd10,BMG
Zr20Hf20Ti20Cu20Co20,BMG
Zr20Hf20Ti20Cu20Fe20,BMG
Zr20Hf20Ti20Cu20Ni20,BMG
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)85Al15,BMG
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)88Al12,BMG
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)90Al10,BMG
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)92Al8,BMG
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)95Al5,BMG
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)98Al2,BMG
(Zr55Nb9Cu15Ni11Al10)99B1,BMG
[(Fe0.8Co0.1Ni0.1)0.75B0.20Si0.05]96Nb4,BMG
{[(Fe60Co40)0.75B0.20Si0.05]0.96Nb0.04}96Cr4,BMG
{[(Fe60Co40)0.75B0.20Si0.05]0.96Nb0.04}97Cr3,BMG
{[(Fe60Co40)0.75B0.20Si0.05]0.96Nb0.04}98Cr2,BMG
{[(Fe60Co40)0.75B0.20Si0.05]0.96Nb0.04}99Cr1,BMG
Al16.66Cr16.66Mo16.66Ta16.66Ti16.66Zr16.66,BMG
Co48Cr15Mo14C15B6Er2,BMG
Cu9.09Ni18.18Al18.18Co18.18Cr18.18Fe18.18,BMG
Cu47Ti33Zr11Si1Ni6Sn2,BMG
Cu47Ti33Zr3Nb8Ni8Si1,BMG
Cu47Ti33Zr5Nb6Ni8Si1,BMG
Cu47Ti33Zr7Nb4Ni8Si1,BMG
Cu47Ti33Zr9Nb2Ni8Si1,BMG
Fe48Cr15Mo14C15B6Y2,BMG
Fe48Cr15Mo14Er2C15B6,BMG
Fe56Co7Ni7Zr8Nb2B20,BMG
Fe58Cr5Mo14Er2C15B6,BMG
Fe60Cr10Mo9C13B6Er2,BMG
Fe61B15Mo7Zr8Co7Y2,BMG
Fe61Co7Zr10Mo5W2B15,BMG
Fe63Cr3Mo10P12C7B5,BMG
Fe65Co10Ga5P12C4B4,BMG
Fe68Cr3Mo10P6C10B3,BMG
Fe70Mo5Ni5P12.5C5B2.5,BMG
Fe71Mo2Nb3P12C10B2,BMG
Fe71Mo3Nb2P12C10B2,BMG
Fe71Mo4Nb1P12C10B2,BMG
Fe72.0C7.0Si3.3B5.0P8.7Ga4.0,BMG
Fe74.0C7.0Si3.3B5.0P8.7Ga2.0,BMG
Fe74Mo5P10C4B4Si3,BMG
Fe75C7Si3.3B5P8.7Ga1,BMG
Fe75Mo4P10C4B4Si3,BMG
Fe76Mo3P10C4B4Si3,BMG
Fe76Mo4(P0.45C0.2B0.2Si0.15)20,BMG
Fe77Ga3P9.5C4B4Si2.5,BMG
Fe77Mo2P10C4B4Si3,BMG
Fe78Mo1P10C4B4Si3,BMG
La32Ce32Al16Ni5Cu10Co5,BMG
La32Ce32Al16Ni5Cu12Co3,BMG
La32Ce32Al16Ni5Cu5Co10,BMG
La32Ce32Al16Ni5Cu7Co8,BMG
La62Al14(Cu83.3Ag16.7)12(Ni50Co50)12,BMG
La62Al14(Cu83.3Ag16.7)14(Ni50Co50)10,BMG
La62Al14(Cu83.3Ag16.7)16(Ni50Co50)8,BMG
La62Al14(Cu83.3Ag16.7)20(Ni50Co50)4,BMG
Mg65Cu7.5Ni7.5Ag5Zn5Gd10,BMG
Mg65Cu7.5Ni7.5Ag5Zn5Y10,BMG
Ni39.8Cu5.97Ti15.92Zr27.86Al9.95Si0.5,BMG
Ni42Ti19Zr22.5Al8Cu5Si3.5,BMG
Ni42Ti20Zr20.5Al8Cu5Si4.5,BMG
Ni42Ti20Zr21.5Al8Cu5Si3.5,BMG
Ni42Ti20Zr22.5Al8Cu5Si2.5,BMG
Ni59Zr16Ti13Si3Sn2Nb7,BMG
Pt74.7Cu1.5Ag0.3P18B4Si1.5,BMG
Sr16.66Ca16.66Yb16.66Mg16.66Zn16.66Cu16.66,BMG
Ti41.5Zr2.5Hf5Cu42.5Ni7.5Si1,BMG
Ti45Ni15Cu25Sn3Be7Zr5,BMG
Ti50Ni24Cu20B1Si2Sn3,BMG
Zn20Ca20Sr20Yb20Li11Mg9,BMG
Zr34Ti15Cu10Ni11Be28Y2,BMG
Zr41Ti14Cu12.5Ni2Be22.5C8,BMG
Zr41Ti14Cu12.5Ni2Be22.5Fe8,BMG
Zr41Ti14Cu12.5Ni5Be22.5Fe5,BMG
Zr41Ti14Cu12.5Ni8Be22.5C2,BMG
Zr41Ti14Cu12.5Ni8Be22.5Fe2,BMG
Zr41Ti14Cu12.5Ni9Be22.5C1,BMG
Zr45Nb8Cu13Ni4Be22Fe8,BMG
(Fe60Cr10Mo9C13B6Er2)95Be5,BMG
(Fe60Cr10Mo9C13B6Er2)95Cu5,BMG
(Fe60Cr10Mo9C13B6Er2)95Ni5,BMG
(Fe60Cr10Mo9C13B6Er2)98Be2,BMG
(Fe60Cr10Mo9C13B6Er2)98Pb2,BMG
(Fe60Cr10Mo9C13B6Y2)98V2,BMG
Cu7.69Ni15.38Al15.38Co15.38Cr15.38Fe15.38Si15.38,BMG
Cu7.69Ni15.38Al15.38Co15.38Cr15.38Fe15.38Ti15.38,BMG
Fe27Co40Zr3Ti3Mo1.5Si1.5B24,BMG
Fe39Co9Cr15Mo14C15B6Y2,BMG
Fe41Co7Cr15Mo14C15B6Y2,BMG
Fe43Co5Cr15Mo14C15B6Y2,BMG
Fe45Co3Cr15Mo14C15B6Y2,BMG
Fe46Co30Mo4(P0.45C0.2B0.2Si0.15)20,BMG
Fe56Co20Mo4(P0.45C0.2B0.2Si0.15)20,BMG
Fe56Mn5Cr7Mo12Er2C12B6,BMG
Fe61B15Mo7Zr8Co6Y2Al1,BMG
Fe61Co5Zr8Y2Cr2Mo7B15,BMG
Fe65.5Cr4Mo4Ga4P12C5B5.5,BMG
Fe66Co10Mo4(P0.45C0.2B0.2Si0.15)20,BMG
Fe68Mo5Ni5Cr2P12.5C5B2.5,BMG
Fe70B5C5Si3Al5Ga2P10,BMG
Fe72Al5Ga2P10C6B4Si1,BMG
Fe73Mo4Ga3P10C4B4Si2,BMG
Fe74Mo4Ga2P10C4B4Si2,BMG
Fe75Mo2Ga3P10C4B4Si2,BMG
Fe76Mo2Ga2P10C4B4Si2,BMG
Mg65Cu7.5Ni7.5Ag5Zn5Gd2.5Y7.5,BMG
Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5,BMG
Mg65Cu7.5Ni7.5Ag5Zn5Gd7.5Y2.5,BMG
Ti41.5Zr2.5Hf5Cu37.5Ni7.5Si1Sn5,BMG
Ti53Cu15Ni18.5Al7Si3Hf3B0.5,BMG
Ti53Cu15Ni18.5Al7Si3Sc3B0.5,BMG
Zr26Ti10Cu8Ni8Be20Y4Mg24,BMG
Zr36Nb12Cu10Ni8Be20Y2Mg12,BMG
Zr40Ti15Cu11Ni11Be21.5Y1Mg0.5,BMG
(Fe44.3Cr5Co5Mo12.8Mn11.2C15.8B5.9)98.5Y1.5,BMG
Al12.5Mo12.5Nb12.5Si12.5Ta12.5Ti12.5V12.5Zr12.5,BMG
Fe68.3C6.9Si2.5B6.7P8.8Cr2.2Mo2.5Al2.1,BMG
Zr36Nb12Cu10Ni6Fe2Be20Y2Mg12,BMG
(Fe60Cr10Mo9C13B6Er2)98Al2,BMG
(Fe60Cr10Mo9C13B6Er2)98In2,BMG
(Fe60Cr10Mo9C13B6Er2)98Nb2,BMG
(Fe60Cr10Mo9C13B6Er2)98Ni2,BMG
Al87Co8Ce5,BMG
B11Fe79Si10,BMG
Ca65Li14.54Mg12.46Zn8,BMG
Ca65Li6.46Mg5.54Zn23,BMG
Ca65Li7.54Mg6.46Zn21,BMG
Ce55Al25Cu20,BMG
Ce55Al45,BMG
Ce57Al10Ni12.5Cu15.5Nb5,BMG
Ce60Al10Cu20Ni10,BMG
Ce60Al20Co20,BMG
Ce65Al10Cu20Co5,BMG
Ce65Al12.5Ni12.5Cu10,BMG
Ce65Al15Cu20,BMG
Ce67Al10Cu20Nb3,BMG
Ce68Al10Cu20B2,BMG
Ce68Al10Cu20C2,BMG
Ce68Al10Cu20Si2,BMG
Ce69Al10Cu20Nb1,BMG
Ce70Al10Cu17Zn3,BMG
Ce70Al10Cu18Zn2,BMG
Ce70Al10Cu19Zn1,BMG
Ce70Al10Ni20,BMG
Ce70Al15Ni15,BMG
Fe60Cr10Mo9C10B6Er2Ni3,BMG
Gd55Ni15Al30,BMG
Gd55Ni25Al20,BMG
Ni59Zr11Ti16Si2Sn3Nb9,BMG
Ni59Zr13Ti14Si2Sn3Nb9,BMG
Ni59Zr13Ti16Si2Sn3Nb7,BMG
Ni59Zr14Ti13Si2Sn3Nb9,BMG
Ni59Zr15Ti13Si2Sn3Nb8,BMG
Ni59Zr15Ti16Si2Sn3Nb5,BMG
Ni59Zr16Ti11Si2Sn3Nb9,BMG
Ni59Zr16Ti13Si2Sn3Nb7,BMG
Ni59Zr17Ti11Si2Sn3Nb8,BMG
Ni59Zr17Ti13Si2Sn3Nb6,BMG
Ni59Zr17Ti16Si2Sn3Nb3,BMG
Ni59Zr18Ti11Si2Sn3Nb7,BMG
Ni59Zr18Ti13Si2Sn3Nb5,BMG
Ni59Zr19Ti11Si2Sn3Nb6,BMG
Ni59Zr19Ti11Si3Sn2Nb6,BMG
Ni59Zr19Ti9Si2Sn3Nb8,BMG
Ni59Zr20Ti11Si2Sn3Nb5,BMG
Ni59Zr20Ti9Si2Sn3Nb7,BMG
Ni59Zr21Ti9Si2Sn3Nb6,BMG
Sm50Al30Co20,BMG
Sm55Al25Co10Ni10,BMG
(Cu0.541Zr0.382Ti0.077)98Y2,BMG
(Fe0.9Co0.1)58.5Cr6Mo14C15B6Er0.5,BMG
(Fe0.9Co0.1)58.5Cr6Mo14C18B3Er0.5,BMG
(Fe0.9Co0.1)58.5Cr6Mo14C19B2Er0.5,BMG
(Fe0.9Co0.1)64.25Mo14C15B6Er0.75,BMG
(Fe0.9Co0.1)64.5Mo14C15B6Er0.5,BMG
(Fe0.9Co0.1)64.75Mo14C15B6Er0.25,BMG
(Fe0.9Co0.1)64.875Mo14C15B6Er0.125,BMG
(Fe0.9Co0.1)64Mo14C15B6Er1,BMG
(Zr0.41Ti0.14Cu0.125Ni0.1Be0.225)98Y2,BMG
(Zr0.55Al0.1Ni0.05Cu0.3)99Y1,BMG
Cu44.25Ag14.75Zr36Ti5,BMG
Cu45Zr42.55Al9Y3.45,BMG
Cu45Zr46Al9,BMG
Cu50.4Ni5.6Ti31Zr13,BMG
Cu51Zr41Ti8,BMG
Fe35.5Ni35.5Nb6B23,BMG
Fe49Cr15Mo14C13B8Er1,BMG
Fe49Cr15Mo14C15B6Er1,BMG
Fe49Cr15Mo14C17B4Er1,BMG
Fe49Cr15Mo14C18B3Er1,BMG
Fe49Cr15Mo14C19B2Er1,BMG
Fe50Cr15Mo14C15B6,BMG
Fe50Mn10Mo14Cr4C16B6,BMG
Fe53.25Ni17.75Nb6B23,BMG
Fe59Cr6Mo14C15B6,BMG
Fe60.5Cr4Mo14C15B6Er0.5,BMG
Fe63Cr3Mo10P12C10B2,BMG
Fe64Cr3Mo10P10C10B3,BMG
Fe65Cr2Mo9P10C8B6,BMG
Fe65Mo14C15B6,BMG
Fe66Cr3Mo10P8C10B3,BMG
Fe66Mo10P12C10B2,BMG
Fe80P11C9,BMG
La64Al14(Cu0.5Ni0.5)22,BMG
Lu45Y10Al25Co20,BMG
Mg54Cu28Ag7Y11,BMG
Mg56Cu21Ag14Y9,BMG
Mg61Cu22.4Ag5.6Y11,BMG
Mg63Cu26Y11,BMG
Ni40Cu2Pd2Zr27.6Ti18.4Al10,BMG
Ni40Cu4Zr27.6Ti18.4Al10,BMG
Ni44Zr27.6Ti18.4Al10,BMG
Ni56Co3Nb28Hf8Sn5,BMG
Pr55Cu14.3Ni5.7Al25,BMG
Pr55Cu17Ni8Al20,BMG
Zr33.5Ti24Cu15Be27.5,BMG
Zr36Ti14Cu12.5Ni5Be20.5Fe12,BMG
Zr44Ti11Cu20Be25,BMG
Zr44Ti11Cu9.3Ni10.2Be25Fe0.5,BMG
Zr50Al10Ni10Cu15Be15,BMG
Zr52.5Al10Ni10Cu15Be12.5,BMG
Zr55Al10Ni10Cu15Be10,BMG
Zr56Co28Al16,BMG
Zr60Al10Ni10Cu15Be5,BMG
Zr60Al12Cu28,BMG
Zr60Al19Ni21,BMG
Zr61Al8.9Fe10.2Cu10.2Ag9.7,BMG
Zr61Ti2Cu25Al12,BMG
Zr62Al10Ni12.6Cu15.4,BMG
Zr66Al9Ni8.33Cu16.67,BMG
Zr68Al8Ni8Cu16,BMG
Zr70Al7Ni7.67Cu15.33,BMG
Pd40Ni40P20,BMG
Fe4Zr48Cu32Al8Ag8,BMG
Fe6Zr48Cu30Al8Ag8,BMG
Ti4Zr44Cu36Al8Ag8,BMG
Ti6Zr42Cu36Al8Ag8,BMG
Nb4Zr44Cu36Al8Ag8,BMG
Nb6Zr42Cu36Al8Ag8,BMG
Ca65Li8.62Mg7.38Zn19,BMG
Ca65Li9.69Mg8.31Zn17,BMG
Sc40Al20Co20Y20,BMG
Sc46Al14Co20Y20,BMG
Fe65Cr9Mo8C10B6Er2,BMG
Fe60Co8Zr10Mo5W2B15,BMG
Fe61Co7Zr9.5Mo5W2B15.5,BMG
Fe74Cr2Mo2Ga2P10C4B4Si2,BMG
Fe72Cr4Mo2Ga2P10C4B4Si2,BMG
Fe70Cr6Mo2Ga2P10C4B4Si2,BMG
Fe59Co9Zr10Mo5W2B15,BMG
Fe57Co11Zr10Mo5W2B15,BMG
Fe66Co4Hf5Mo7B15Y3,BMG
Fe62Co8Hf5Mo7B15Y3,BMG
Fe60Co10Hf5Mo7B15Y3,BMG
Fe58Co12Hf5Mo7B15Y3,BMG
Fe83.3Si4B12Cu0.7,BMG
Fe83.3Si4B8P4Cu0.7,BMG
Fe80P12B4Si4,BMG
Fe75Ga5P12C4B4,BMG
Fe78Ga2P12C4B4,BMG
Fe78Ga2P10.5C4B4Si1.5,BMG
Fe78Ga2P9.5C4B4Si2.5,BMG
Fe78Ga2P9C4B4Si3,BMG
Fe78Ga2P8.5C4B4Si3.5,BMG
Fe77Ga3P12C4B4,BMG
Fe77Ga3P10.5C4B4Si1.5,BMG
Fe77Ga3P10C4B4Si2,BMG
Fe77Ga3P9C4B4Si3,BMG
Fe77Ga3P8.5C4B4Si3.5,BMG
Fe76Al4P12B4Si4,BMG
Fe74Al4Ga2P12B4Si4,BMG
Fe70Co5Ga5P12C4B4,BMG
Fe67.5Co7.5Ga5P12C4B4,BMG
Fe62.5Co12.5Ga5P12C4B4,BMG
Fe60Co5Ga15P12C4B4,BMG
Fe57.5Co17.5Ga5P12C4B4,BMG
Fe55Co20Ga5P12C4B4,BMG
Fe74Al4Ga2P11C5B4,BMG
Fe73Al5Ga2P11C5B4,BMG
Fe72Al5Ga2P11C6B4,BMG
Fe78Ga2P10C4B4Si2,BMG
Fe77Mo1Ga2P10C4B4Si2,BMG
Fe72Mo6Ga2P10C4B4Si2,BMG
Fe76Mo1Ga3P10C4B4Si2,BMG
Fe71Mo6Ga3P10C4B4Si2,BMG
Fe74Mo6P10C7.5B2.5,BMG
Fe70.3Ni3.7Mo6P10C7.5B2.5,BMG
Fe69Ni5Mo6P10C7.5B2.5,BMG
Fe66.6Ni7.4Mo6P10C7.5B2.5,BMG
Fe62.9Ni11.1Mo6P10C7.5B2.5,BMG
Fe70Al5Ga2P9.65C5.75B4.6Si3,BMG
Fe67Co7Zr6B20,BMG
Fe64Co7Zr6Nd3B20,BMG
Fe63Co7Zr10B20,BMG
Fe63Co7Nb2Zr8B20,BMG
Fe63Co7Nb4Zr6B20,BMG
Fe63Co7Nb6Zr4B20,BMG
Fe64Co7Zr6B20Nd3,BMG
Fe56Co7Ni7Zr10B20,BMG
Fe56Co7Ni7Zr6Nb4B20 ,BMG
Fe56Co7Ni7Zr7.5Nb2.5B20,BMG
Fe56Co7Ni7Zr6Nb2.5Ta1.5B20,BMG
Fe56Co7Ni7Zr6Nb2.5Ti1.5B20,BMG
Fe56Co7Ni7Zr6Nb2.5Mo1.5B20,BMG
Fe61Co13.5Zr1Pr4.5B20,BMG
Fe61Co13.5Zr1Pr3.5Dy1B20,BMG
Fe67Co9.5Nd3Dy0.5B20,BMG
Fe61Co10Zr5W4B20,BMG
Fe70Si4B20Nb6,BMG
Fe72Si9.6Nb4B14.4,BMG
Fe30Co30Ni15Si8B17,BMG
(Fe0.5Co0.5)72B20Si4Nb4,BMG
(Fe72B22Y6)98Ti2,BMG
(Fe72B22Y6)98Ta2,BMG
(Fe72B22Y6)98Nb2,BMG
Fe68Zr10B22,BMG
Fe72(Nb0.6Zr0.4)6B22,BMG
Fe71(Nb0.8Zr0.2)6B23,BMG
Fe76Si9.6B8.4P6,BMG
(Fe0.76Si0.096B0.084P0.06)99.9Cu0.1,BMG
Fe64.75Mo14C15B6Er0.25,BMG
Fe64.5Mo14C15B6Er0.5,BMG
Fe64Mo14C15B6Er1,BMG
Fe63.5Mo14C15B6Er1.5,BMG
Fe63Mo14C15B6Er2,BMG
Fe64.5Mo14C15B6Dy0.5,BMG
Fe64Mo14C15B6Dy1,BMG
Fe63Mo14C15B6Dy2,BMG
Fe48Cr15Mo14C15B6Tm2,BMG
(Fe80Co20)48Cr15Mo14C15B6Tm2,BMG
(Fe60Co40)48Cr15Mo14C15B6Tm2,BMG
Fe73Mo6P10C4B4Si3,BMG
Fe62.8Co10B13.5Si10Nb3Cu0.7,BMG
Fe52Cr15Mo9C15B6Er3,BMG
Fe48Cr15Mo14C15B6Er2,BMG
Fe48Cr19Mo10C15B6Er2,BMG
Fe48Cr10Mo19C15B6Er2,BMG
Fe48Cr15Mo14C15B6Dy2,BMG
Fe49.5Cr15Mo14C15B6Y0.5,BMG
Fe49Cr15Mo14C15B6Y1,BMG
Fe48.5Cr15Mo14C15B6Y1.5,BMG
Fe61Cr4Mo14C15B6,BMG
Fe55Cr8Mo14C15B6Er2,BMG
Fe64Cr10Mo5C8P13,BMG
Fe64Mo14C15B7,BMG
Fe54Mn10Mo14C15B7,BMG
Fe50Mn10Mo14Cr4C15B7,BMG
Fe49Mn10Mo14Cr4W1C16B6,BMG
Fe51Mn10Mo14Cr4C15B6,BMG
Fe48Mn10Mo16Cr4C15B7,BMG
Fe49Mn10Mo14Cr4W1C15B7,BMG
Fe48Mn10Mo13Cr4W3C15B7,BMG
Fe49Mn10Mo13Cr3W3C15B7,BMG
Fe46Mn10Mo16Cr4Ga2C15B7,BMG
Fe49Mn10Mo14Cr4V1C15B7,BMG
Fe45Cr16Mo16C18B5,BMG
Fe45Cr16Mo14Nb2C18B5,BMG
Fe45Cr16Mo14Ta2C18B5,BMG
Fe46Cr16Mo16C18B4,BMG
Fe44Cr16Mo16C18B6,BMG
Fe42Cr16Mo16C18B8,BMG
Fe43Cr16Mo16C15B10,BMG
Fe43Cr16Mo16C17.5B7.5,BMG
Fe43Cr16Mo16C15B5P5,BMG
Fe43Cr16Mo16C20B5,BMG
Fe43Cr16Mo16C10B15,BMG
(Fe77.5B12.5Si10)98Nb2,BMG
(Fe0.75B0.20Si0.05)99Nb1,BMG
(Fe0.75B0.20Si0.05)98Nb2,BMG
(Fe75Si10B15)96Nb4,BMG
Fe71Mo5P12C10B2,BMG
Fe69Cr2Mo5P12C10B2,BMG
Fe69Mo7P12C10B2,BMG
Fe63Cr3Mo12P10C7B5,BMG
Fe71.2B24Y4.8,BMG
(Fe71.2B24Y4.8)98Nb2,BMG
(Fe71.2B24Y4.8)96Nb4,BMG
(Fe71.2B24Y4.8)94Nb6,BMG
(Fe71.2B24Y4.8)92Nb8,BMG
Fe60Mo15C15B10,BMG
Fe52.5Cr7.5Mo15C15B10,BMG
Fe45Cr15Mo15C15B10,BMG
Fe45Cr7.5Mo22.5C15B10,BMG
Fe37.5Cr22.5Mo15C15B10,BMG
Fe37.5Cr15Mo22.5C15B10,BMG
Fe30Cr30Mo15C15B10,BMG
Fe71.2C7.0Si3.3B5.5P8.7Cr2.3Al2.0,BMG
Fe68.7C7.0Si3.3B5.5P8.7Cr2.3Al2.0Mo2.5,BMG
Fe66.7C7.0Si3.3B5.5P8.7Cr2.3Al2.0Mo4.5,BMG
Fe64.7C7.0Si3.3B5.5P8.7Cr2.3Al2.0Mo6.5,BMG
Ag27Cu73,CRA
Ag42Fe58,CRA
Ag48Cu52,CRA
Ag48Fe52,CRA
Ag50Fe50,CRA
Ag52Fe48,CRA
Ag55Fe45,CRA
Ag61Fe39,CRA
Ag63Fe37,CRA
Ag67Fe33,CRA
Ag70Fe30,CRA
Ag84Fe16,CRA
Al10La90,CRA
Al10Ti90,CRA
Al20Ti80,CRA
Al20Zr80,CRA
