Alloy composition (at.\%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,1/10
Cu55Zr42.5Ga2.5 [24],709,762,1199,1,0.59133,53,0.39937,0.67973,0.10816,1.5551,0.40809,0.63553,1.6661,2.829,5.3402
Cu57.5Zr37.5Ga5 [24],745,785,1241,1,0.60032,40,0.39527,0.66479,0.08065,1.5827,0.39515,0.63255,1.654,2.8125,5.0304
Cu52.5Zr40Ga7.5 [24],744,777,1218,1.5,0.61084,33,0.39602,0.66502,0.06962,1.6392,0.39124,0.63793,1.6552,2.9725,5.0221
Cu55Zr40Ga5 [24],736,779,1193,2,0.61693,43,0.40384,0.68902,0.09409,1.7046,0.41102,0.65298,1.6754,3.3451,5.5032
Cu52.5Zr42.5Ga5 [24],733,777,1187,2,0.61752,44,0.40469,0.69166,0.09692,1.7115,0.41301,0.65459,1.6776,3.3881,5.5608
Cu46Zr54 [24],696,746,1201,2,0.57952,50,0.39325,0.66278,0.09901,1.4772,0.39767,0.62115,1.6514,2.508,5.0204
Cu46Zr47Al7 [24],705,781,1163,3,0.60619,76,0.41809,0.73689,0.16594,1.7052,0.44083,0.67154,1.714,3.7732,6.7627
Cu46Zr37Al7Y10 [24],665,743,1118,4,0.59481,78,0.41671,0.73435,0.17219,1.6402,0.43781,0.66458,1.7121,3.5136,6.7075
Cu46Zr45Al7Y2 [24],693,770,1143,8,0.6063,77,0.41939,0.74103,0.17111,1.7111,0.44282,0.67367,1.7174,3.8354,6.8919
Cu46Zr42Al7Y5 [24],672,772,1113,10,0.60377,100,0.43249,0.78347,0.22676,1.7506,0.45979,0.69362,1.7526,4.4615,8.5088
Cu60Hf25Ti15 [24],730,790,1177,4,0.62022,60,0.41426,0.72218,0.13423,1.7673,0.43388,0.6712,1.7024,3.8506,6.3111
Cu52.5Hf40Al7.5 [24],779,833,1250,3,0.6232,54,0.41055,0.7096,0.11465,1.7686,0.42547,0.6664,1.6925,3.7317,5.977
Cu60Zr30Ti10 [24],720,757,1160,4,0.62069,37,0.40266,0.68448,0.08409,1.7205,0.406,0.65259,1.6721,3.356,5.4006
Cu47Ti33Zr11Si1Ni6Sn2 [24],720,765,1140,6,0.63158,45,0.41129,0.71053,0.10714,1.8214,0.42485,0.67105,1.6941,3.9168,5.9886
Cu50Zr43Al7 [24],721,792,1176,4,0.6131,71,0.4175,0.73384,0.15604,1.7407,0.44012,0.67347,1.7116,3.8726,6.6575
Cu47Zr43Al7Ag3 [24],716,795,1156,5,0.61938,79,0.42468,0.75606,0.17955,1.8068,0.45192,0.68772,1.7297,4.3678,7.3707
Cu47Zr43Al7Be3 [24],715,798,1139,6,0.62774,83,0.43042,0.77349,0.19575,1.8821,0.46137,0.70061,1.7438,4.9068,8.0202
Cu43Zr43Al7Ag7 [24],710,797,1125,8,0.63111,87,0.43433,0.78578,0.20964,1.9205,0.46744,0.70844,1.7536,5.2598,8.5471
Cu43Zr43Al7Be7 [24],710,813,1126,12,0.63055,103,0.44281,0.8135,0.2476,1.9543,0.47844,0.72202,1.7756,5.892,10.011
Cu49Hf42Al9 [24],778,863,1249,10,0.6229,85,0.42575,0.75901,0.18047,1.8323,0.45385,0.69095,1.7322,4.5063,7.47
Cu45Zr48Al7 [24],708,766,1186,5,0.59696,58,0.40444,0.69477,0.12134,1.6025,0.41741,0.64587,1.6789,3.0744,5.6607
Cu47Ti33Zr11Ni8Si1 [24],720,757,1157,4,0.6223,37,0.4033,0.68626,0.08467,1.7323,0.40706,0.65428,1.6737,3.4065,5.4365
Cu47Ti33Zr9Nb2Ni8Si1 [24],728,762,1159,5,0.62813,34,0.40382,0.6868,0.07889,1.768,0.40529,0.65746,1.6748,3.5197,5.4411
Cu47Ti33Zr7Nb4Ni8Si1 [24],713,736,1172,5,0.60836,23,0.39045,0.64761,0.05011,1.6035,0.3723,0.62799,1.6406,2.7605,4.7114
Cu47Ti33Zr5Nb6Ni8Si1 [24],712,739,1187,2,0.59983,27,0.38915,0.64532,0.05684,1.5558,0.37567,0.62258,1.6378,2.6216,4.6817
Cu47Ti33Zr3Nb8Ni8Si1 [24],708,731,1228,1,0.57655,23,0.37758,0.61401,0.04423,1.4058,0.35319,0.59528,1.609,2.0953,4.2171
Cu47Ti33Nb11Ni8Si1 [24],710,732,1265,0.5,0.56126,22,0.37063,0.59605,0.03964,1.3189,0.34151,0.57866,1.5923,1.8294,3.9847
Cu47Zr11Ni8Ti34 [24],671,717,1160,3,0.57845,46,0.39159,0.65776,0.09407,1.4663,0.39429,0.6181,1.647,2.4515,4.9283
Cu60Zr30Ti10 [24],713,750,1151,4,0.61946,37,0.40236,0.68375,0.08447,1.7123,0.40577,0.65161,1.6714,3.3255,5.3866
(Cu60Zr30Ti10)98Y2 [24],707,757,1122,5,0.63012,50,0.41389,0.71925,0.12048,1.8241,0.43143,0.67469,1.7008,4.0173,6.217
(Cu60Zr30Ti10)90Be10 [24],720,762,1130,5,0.63717,42,0.41189,0.7115,0.10244,1.8585,0.4244,0.67434,1.6955,4.0513,6.0059
(Cu60Zr30Ti10)99Sn1 [24],730,776,1155,5,0.63203,46,0.41167,0.71169,0.10824,1.8259,0.42566,0.67186,1.695,3.9437,6.0174
Cu60Hf25Ti15 [24],745,805,1182,4,0.63029,60,0.41775,0.73181,0.1373,1.8421,0.43964,0.68105,1.7108,4.2196,6.5684
(Cu0.6Hf0.25Ti0.15)98Nb2 [24],746,792,1184,4,0.63007,46,0.41036,0.70777,0.10502,1.8082,0.42302,0.66892,1.6917,3.845,5.922
(Cu0.6Hf0.25Ti0.15)96Nb4 [24],747,789,1188,4,0.62879,42,0.40775,0.69949,0.09524,1.7891,0.41662,0.66414,1.685,3.7021,5.7249
(Cu0.6Hf0.25Ti0.15)94Nb6 [24],745,785,1190,4,0.62605,40,0.40568,0.69328,0.08989,1.764,0.41208,0.65966,1.6797,3.5655,5.586
(Cu0.6Hf0.25Ti0.15)92Nb8 [24],745,783,1198,2.5,0.62187,38,0.40299,0.68531,0.08389,1.7285,0.40634,0.65359,1.6729,3.3871,5.4167
Cu60Zr33Ti7 [24],740,768,1191,3,0.62133,28,0.39772,0.66835,0.06208,1.7029,0.38901,0.64484,1.6592,3.1762,5.0736
Cu54Ag6Zr33Ti7 [24],709,738,1135,6,0.62467,29,0.40022,0.67577,0.06808,1.7324,0.39549,0.65022,1.6656,3.3199,5.2158
Cu46.4Ag11.6Zr35Ti7 [24],689,732,1119,6,0.61573,43,0.40487,0.69258,0.1,1.7023,0.4141,0.65416,1.6781,3.3675,5.5838
Cu60Zr30Ti10 [24],724,746,1175,2,0.61617,22,0.39284,0.65362,0.04878,1.6541,0.37387,0.63489,1.6466,2.9347,4.8076
Cu55Ni5Zr30Ti10 [24],717,750,1204,2,0.59551,33,0.39042,0.65033,0.06776,1.54,0.38344,0.62292,1.6415,2.609,4.773
Cu47Ni13Zr30Ti10 [24],727,754,1251,1,0.58114,27,0.38119,0.6243,0.05153,1.4389,0.36288,0.60272,1.6183,2.2192,4.3648
Cu55Ag5Zr30Ti10 [24],704,733,1149,3,0.61271,29,0.39557,0.66319,0.06517,1.6472,0.3883,0.63795,1.6539,2.9819,4.9854
Cu50Ag10Zr30Ti10 [24],694,726,1130,4,0.61416,32,0.39803,0.6708,0.07339,1.6651,0.39555,0.64248,1.6603,3.087,5.1293
Cu45Ag15Zr30Ti10 [24],687,717,1121,5,0.61285,30,0.39657,0.66637,0.06912,1.6521,0.39165,0.63961,1.6565,3.018,5.0453
Cu40Ag20Zr30Ti10 [24],677,708,1125,3,0.60178,31,0.3929,0.65689,0.0692,1.5804,0.38719,0.62933,1.6476,2.7564,4.8822
Cu35Ag25Zr30Ti10 [24],677,706,1138,2,0.5949,29,0.38898,0.64587,0.06291,1.5315,0.37914,0.62039,1.6377,2.5611,4.6966
Cu45Ni5Ag10Zr30Ti10 [24],710,738,1160,5,0.61207,28,0.39465,0.66034,0.06222,1.64,0.38549,0.63621,1.6515,2.9423,4.9334
Cu60Hf20Ti20 [24],740,767,1211,4,0.61107,27,0.39313,0.65566,0.05732,1.6285,0.3806,0.63336,1.6476,2.8791,4.8494
Cu60Hf17.5Ti22.5 [24],732,755,1229,3,0.59561,23,0.38501,0.63303,0.04628,1.5191,0.36313,0.61432,1.627,2.4598,4.4847
Cu45Zr45Ag10 [26],683,756,1159,6,0.5893,73,0.4104,0.7153,0.1534,1.5882,0.428,0.6523,1.6962,3.1793,6.1784
Cu45Zr45Ag7Al3 [26],688,768,1151,7,0.5977,80,0.4176,0.7368,0.1728,1.6587,0.4394,0.6673,1.714,3.6021,6.775
Cu45Zr45Ag5Al5 [26],697,783,1147,9,0.6077,86,0.4246,0.7576,0.1911,1.74,0.4505,0.6827,1.7311,4.119,7.4515
Cu45Zr45Ag3Al7 [26],708,786,1177,8,0.6015,78,0.417,0.7341,0.1663,1.6759,0.4388,0.6678,1.7117,3.64,6.6858
Cu44Zr44Ag6Al6 [26],698,790,1144,10,0.6101,92,0.4289,0.771,0.2063,1.7713,0.4567,0.6906,1.7419,4.4002,7.9572
Cu42Zr42Ag8Al8 [26],705,780,1213,12,0.5812,75,0.4067,0.7049,0.1476,1.5354,0.4219,0.643,1.6876,2.933,5.9275
Cu40Zr40Ag10Al10 [26],710,765,1273,3,0.5577,55,0.3858,0.6442,0.0977,1.3588,0.3869,0.6009,1.6352,2.1047,4.7166
Cu40Zr44Ag8Al8 [26],693,791,1176,15,0.5893,98,0.4232,0.756,0.2029,1.6377,0.4455,0.6726,1.7307,3.6982,7.4331
Cu38Zr46Ag8Al8 [26],692,795,1145,20,0.6044,103,0.4328,0.7843,0.2274,1.755,0.4603,0.6943,1.7532,4.4909,8.5442
Cu36Zr48Ag8Al8 [26],683,791,1142,25,0.5981,108,0.4334,0.7872,0.2353,1.7233,0.4594,0.6926,1.7562,4.3851,8.6979
Cu34Zr50Ag8Al8 [26],680,780,1148,15,0.5923,100,0.4267,0.7666,0.2137,1.6667,0.4503,0.6794,1.7394,3.9166,7.824
Cu50Zr50 [27],686,744,1237,2,0.5546,58,0.3869,0.6483,0.1053,1.3503,0.3895,0.6015,1.6391,2.0999,4.7945
Cu48Zr48Ag4 [27],681,743,1199,3,0.568,62,0.3952,0.6714,0.1197,1.4344,0.4032,0.6197,1.659,2.4334,5.206
Cu46Zr46Ag8 [27],677,745,1167,4,0.5801,68,0.404,0.6967,0.1388,1.5204,0.4176,0.6384,1.6806,2.8322,5.7323
Cu44Zr44Ag12 [27],684,764,1156,4,0.5917,80,0.4152,0.7301,0.1695,1.6186,0.4353,0.6609,1.7087,3.4008,6.5872
Cu42Zr42Ag16 [27],685,757,1232,2,0.556,72,0.3949,0.6729,0.1316,1.3839,0.4029,0.6145,1.6611,2.2983,5.2568
Cu45Zr35Ag10Hf10 [27],690,769,1171,4,0.5892,79,0.4132,0.7242,0.1642,1.5988,0.4322,0.6567,1.7037,3.2834,6.4213
Cu45Zr25Ag10Hf20 [27],698,783,1218,3,0.5731,85,0.4087,0.7126,0.1635,1.5058,0.4241,0.6429,1.6948,2.8883,6.1409
Cu45Zr15Ag10Hf30 [27],712,799,1275,2,0.5584,87,0.4021,0.6949,0.1545,1.4192,0.4134,0.6267,1.6806,2.5108,5.7321
Cu50Zr50 [28],670,717,1208,2,0.5546,47,0.3818,0.6325,0.0874,1.3327,0.3793,0.5935,1.6248,1.9926,4.5264
Cu43Zr43Ag7Ti7 [28],670,714,1118,5,0.5993,44,0.3993,0.678,0.0982,1.5938,0.406,0.6386,1.665,2.931,5.2928
Cu43Zr43Ag7In7 [28],704,748,1135,5,0.6203,44,0.4067,0.6978,0.1021,1.7355,0.4172,0.659,1.6828,3.516,5.6966
Cu43Zr40Ag7Ti10 [28],656,707,1095,7,0.5991,51,0.4038,0.6922,0.1162,1.6105,0.4158,0.6457,1.6768,3.0808,5.5998
Cu64Zr36 [28],787,833,1230,2,0.6398,46,0.413,0.7146,0.1038,1.8804,0.4263,0.6772,1.6983,4.1595,6.0823
Cu57Zr36Ag7 [28],712,755,1156,4,0.6159,43,0.4042,0.6903,0.0969,1.7005,0.4123,0.6531,1.6763,3.343,5.533
Cu54Zr36Ag10 [28],719,759,1146,6,0.6274,40,0.407,0.6972,0.0937,1.7775,0.4151,0.6623,1.683,3.6438,5.6736
Cu49Zr36Ag10Ti5 [28],691,737,1130,8,0.6115,46,0.4047,0.6929,0.1048,1.6788,0.4151,0.6522,1.6781,3.2973,5.5972
Cu50Zr42.5Ti7.5 [29],677,717,1152,5,0.5877,40,0.392,0.6571,0.0842,1.5095,0.3922,0.6224,1.6468,2.5652,4.904
(Cu0.5Zr0.425Ti0.075)99Sn1 [29],683,730,1140,6,0.5991,47,0.4004,0.6816,0.1028,1.5974,0.4086,0.6404,1.6679,2.966,5.3676
(Cu0.5Zr0.425Ti0.075)99Si1 [29],683,731,1141,6,0.5986,48,0.4008,0.6827,0.1048,1.5961,0.4095,0.6407,1.6689,2.9701,5.3928
(Cu0.5Zr0.425Ti0.075)98.8Sn0.6Si0.6 [29],682,734,1141,7,0.5977,52,0.4026,0.6889,0.1133,1.5991,0.4137,0.6433,1.674,3.022,5.5268
Ca66.4Al33.6 [24],528,540,873,1,0.60481,12,0.38544,0.6323,0.03478,1.5652,0.35205,0.61856,1.6275,2.5712,4.4637
Ca60Al30Ag10 [24],483,531,868,2,0.55645,48,0.39304,0.66705,0.12468,1.3792,0.39998,0.61175,1.6558,2.2583,5.1393
Ca63Al32Cu5 [24],512,523,831,2,0.61613,11,0.38943,0.6426,0.03448,1.6395,0.35576,0.62936,1.6376,2.8227,4.619
Ca55Mg25Zn20 [24],375,418,751,1,0.49933,43,0.37123,0.61385,0.11436,1.1117,0.36635,0.55659,1.614,1.4136,4.328
Ca55Mg20Zn25 [24],383,428,702,2,0.54558,45,0.39447,0.67379,0.14107,1.3417,0.40167,0.60969,1.6631,2.1834,5.2947
Ca55Mg18Zn27 [24],389,419,671,0.5,0.57973,30,0.39528,0.66915,0.10638,1.4858,0.40188,0.62444,1.6569,2.5666,5.143
Ca55Mg15Zn30 [24],387,419,696,0.5,0.55603,32,0.38689,0.64799,0.10356,1.356,0.38931,0.60201,1.6387,2.1133,4.7859
Ca60Mg25Zn15 [24],377,409,744,1,0.50672,32,0.36485,0.59274,0.08719,1.1144,0.35611,0.54973,1.5916,1.374,4.0137
Ca60Mg20Zn20 [24],378,415,660,4,0.57273,37,0.39981,0.68485,0.13121,1.4716,0.41079,0.62879,1.6706,2.6134,5.4789
Ca60Mg17.5Zn22.5 [24],383,421,650,10,0.58923,38,0.40755,0.70615,0.14232,1.5768,0.42345,0.64769,1.6884,3.0748,5.945
Ca60Mg15Zn25 [24],379,427,650,6,0.58308,48,0.41497,0.73077,0.17712,1.5756,0.43391,0.65692,1.7097,3.2543,6.6247
Ca60Mg10Zn30 [24],380,400,666,0.5,0.57057,20,0.38241,0.63063,0.06993,1.3986,0.3745,0.6006,1.6232,2.1482,4.4758
Ca62.5Mg17.5Zn20 [24],375,412,640,10,0.58594,37,0.40591,0.70156,0.13962,1.5547,0.42074,0.64375,1.6846,2.9721,5.8385
Ca65Mg25Zn10 [24],387,405,759,0.5,0.50988,18,0.3534,0.55731,0.04839,1.0887,0.3288,0.5336,1.5564,1.2507,3.5694
Ca65Mg20Zn15 [24],380,405,668,5,0.56886,25,0.38645,0.64371,0.08681,1.4063,0.38548,0.60629,1.6347,2.225,4.6931
Ca65Mg15Zn20 [24],377,410,630,6,0.59841,33,0.40715,0.70317,0.13043,1.6206,0.42241,0.65079,1.6859,3.1936,5.8564
Ca65Mg10Zn25 [24],377,412,659,2,0.57208,35,0.39768,0.6783,0.12411,1.461,0.40723,0.62519,1.6649,2.5459,5.3405
Ca70Mg15Zn15 [24],371,397,688,0.5,0.53924,26,0.37488,0.61483,0.08202,1.2524,0.36873,0.57703,1.6093,1.7393,4.2763
Ca70Mg10Zn20 [24],367,399,657,0.5,0.5586,32,0.38965,0.65601,0.11034,1.3759,0.39408,0.60731,1.6458,2.1999,4.926
Ca40Mg30Cu30 [24],395,430,694,0.5,0.56916,35,0.39486,0.67003,0.11706,1.4381,0.40246,0.6196,1.6578,2.437,5.1768
Ca40Mg25Cu35 [24],399,436,680,4,0.58676,37,0.40408,0.69559,0.13167,1.5516,0.41762,0.64118,1.6795,2.922,5.6959
Ca45Mg30Cu25 [24],401,436,717,1,0.55927,35,0.38998,0.6569,0.11076,1.3797,0.39462,0.60809,1.6466,2.2142,4.9414
Ca45Mg25Cu30 [24],400,438,678,6,0.58997,38,0.40631,0.70206,0.13669,1.5755,0.42135,0.64602,1.685,3.0417,5.8436
Ca45Mg19Cu36 [24],399,428,714,0.5,0.55882,29,0.38455,0.64006,0.09206,1.3587,0.38411,0.59944,1.6315,2.0878,4.6455
Ca47.5Mg22.5Cu30 [24],399,440,673,6,0.59287,41,0.41045,0.71471,0.14964,1.6058,0.4282,0.65379,1.6956,3.2338,6.1571
Ca50Mg30Cu20 [24],402,439,731,2,0.54993,37,0.38747,0.65116,0.11246,1.3343,0.39098,0.60055,1.642,2.0698,4.8521
Ca50Mg25Cu25 [24],400,439,655,9,0.61069,39,0.41611,0.72977,0.15294,1.7216,0.43777,0.67023,1.7082,3.7637,6.5416
Ca50Mg22.5Cu27.5 [24],400,442,663,10,0.60332,42,0.4158,0.73002,0.1597,1.6806,0.4371,0.66667,1.7083,3.6199,6.5621
Ca50Mg20Cu30 [24],401,442,690,8,0.58116,41,0.40513,0.7,0.14187,1.5294,0.41944,0.64058,1.6834,2.8818,5.8094
Ca53Mg23Cu24 [24],406,439,655,7,0.61985,33,0.41376,0.72061,0.13253,1.7631,0.43293,0.67023,1.7011,3.8202,6.2691
Ca55Mg25Cu20 [24],398,428,668,8,0.59581,30,0.4015,0.68563,0.11111,1.5852,0.41167,0.64072,1.6712,2.9574,5.4588
Ca55Mg20Cu25 [24],399,426,720,2,0.55417,27,0.3807,0.62917,0.08411,1.3271,0.37704,0.59167,1.6218,1.9665,4.4746
Ca55Mg15Cu30 [24],397,437,706,3,0.56232,40,0.39619,0.67564,0.12945,1.4142,0.405,0.61898,1.6631,2.3975,5.3019
Ca55Mg10Cu35 [24],397,422,770,0.5,0.51558,25,0.36161,0.58052,0.06702,1.1314,0.3472,0.54805,1.5786,1.3834,3.8405
Ca58Mg18Cu24 [24],388,426,667,6,0.58171,38,0.40379,0.69565,0.1362,1.5269,0.41727,0.63868,1.6796,2.8458,5.706
Ca60Mg25Cu15 [24],390,416,676,2,0.57692,26,0.39024,0.65385,0.09091,1.4545,0.39168,0.61538,1.6436,2.4,4.8593
Ca60Mg20Cu20 [24],387,412,678,4,0.5708,25,0.38685,0.64454,0.08591,1.4158,0.38578,0.60767,1.6354,2.2534,4.7046
Ca60Mg15Cu25 [24],396,428,687,1,0.57642,32,0.3952,0.66958,0.10997,1.4708,0.40226,0.623,1.6572,2.5266,5.1565
Ca60Mg13Cu27 [24],394,426,701,1,0.56205,32,0.38904,0.65335,0.10423,1.3876,0.39252,0.6077,1.6433,2.2194,4.8722
Ca65Mg25Cu10 [24],405,429,691,0.5,0.58611,24,0.39142,0.65557,0.08392,1.5,0.39127,0.62084,1.6454,2.5311,4.8779
Ca65Mg20Cu15 [24],386,405,679,2,0.56848,19,0.38028,0.62445,0.06485,1.3823,0.36957,0.59647,1.6177,2.0823,4.382
Ca65Mg15Cu20 [24],383,409,682,4,0.56158,26,0.38404,0.63783,0.08696,1.3679,0.38226,0.59971,1.6295,2.1018,4.6044
Ca65Mg10Cu25 [24],388,420,711,2,0.54571,32,0.38217,0.63572,0.09907,1.3003,0.38194,0.59072,1.6282,1.9244,4.5932
Ca65Mg5Cu30 [24],403,424,757,0.5,0.53236,21,0.36552,0.58785,0.05932,1.1977,0.34892,0.56011,1.5845,1.5409,3.9117
Ca70Mg20Cu10 [24],356,385,702,0.5,0.50712,29,0.36389,0.58974,0.08382,1.1127,0.35431,0.54843,1.5886,1.3639,3.9729
Ca70Mg10Cu20 [24],385,407,713,1,0.53997,22,0.37067,0.60168,0.06707,1.2409,0.35861,0.57083,1.5971,1.6734,4.0871
Ca55Mg11Zn11Cu23 [24],379,430,717,1,0.52859,51,0.39234,0.67085,0.15089,1.2722,0.39679,0.59972,1.6632,1.9785,5.269
Ca50Mg20Zn5Cu25 [24],399,441,654,10,0.61009,42,0.4188,0.73853,0.16471,1.7294,0.44216,0.67431,1.7154,3.8784,6.8061
Ca50Mg15Zn10Cu25 [24],395,434,678,10,0.5826,39,0.40447,0.69764,0.13781,1.5336,0.41839,0.64012,1.6813,2.8794,5.7509
Ca50Mg10Zn15Cu25 [24],395,427,702,2,0.56268,32,0.38924,0.65385,0.10423,1.3909,0.39281,0.60826,1.6437,2.2303,4.8801
Ca50Mg25Zn15Cu10 [24],383,430,723,8,0.52974,47,0.38879,0.65975,0.13824,1.2647,0.39244,0.59474,1.6525,1.9184,5.0477
Ca47Mg19Zn7Cu27 [24],393,440,676,6,0.58136,47,0.4116,0.72041,0.16608,1.5548,0.4291,0.65089,1.701,3.1047,6.3325
Mg80Ni10Nd10 [24],454,471,878,0.6,0.51708,17,0.3536,0.55581,0.04009,1.1108,0.32326,0.53645,1.5545,1.2909,3.5433
Mg70Ni15Nd15 [24],467,489,844,1.5,0.55332,22,0.373,0.60545,0.05836,1.2971,0.35746,0.57938,1.6004,1.812,4.1224
Mg75Ni15Nd10 [24],450,470,790,2.8,0.56962,20,0.37903,0.62025,0.05882,1.3824,0.36494,0.59494,1.6141,2.0654,4.317
Mg65Cu25Er10 [24],422,480,766,3,0.55091,58,0.40404,0.70235,0.1686,1.3953,0.4148,0.62663,1.6884,2.4764,5.9267
Mg65Ni20Nd15 [24],459,501,805,3.5,0.57019,42,0.39636,0.67453,0.12139,1.448,0.40504,0.62236,1.6617,2.4883,5.2659
Mg65Cu15Ag10Er10 [24],427,465,733,6,0.58254,38,0.40086,0.68622,0.12418,1.5196,0.41218,0.63438,1.6715,2.7645,5.4923
Mg65Cu7.5Ni7.5Zn5Ag5Y10 [24],426,464,717,9,0.59414,38,0.40595,0.70014,0.13058,1.5945,0.42053,0.64714,1.6833,3.0881,5.7905
Mg65Cu25Y10 [24],413,473,760,4,0.54342,60,0.40324,0.70132,0.17291,1.3631,0.41241,0.62237,1.6887,2.3716,5.9181
Mg65Cu25Gd10 [24],423,484,740,8,0.57162,61,0.41617,0.73649,0.19243,1.5268,0.43336,0.65405,1.7158,3.124,6.8242
Mg65Cu25Dy10 [24],422,492,750,3,0.56267,70,0.4198,0.74933,0.21341,1.5,0.43519,0.656,1.7285,3.1192,7.2681
Mg65Cu25Pr10 [24],413,446,784,1,0.52679,33,0.3726,0.61097,0.08895,1.2022,0.36703,0.56888,1.6067,1.6123,4.2382
Mg65Cu25Nd10 [24],423,456,744,1,0.56855,33,0.39075,0.65726,0.1028,1.4206,0.39477,0.6129,1.6466,2.3255,4.9335
Mg65Cu25Ho10 [24],417,473,751,1,0.55526,56,0.40497,0.70439,0.16766,1.4162,0.41668,0.62983,1.6896,2.5522,5.9678
Mg65Cu15Ag5Pd5Gd10 [24],430,472,748,10,0.57487,42,0.40068,0.68717,0.13208,1.4843,0.4122,0.63102,1.6725,2.6644,5.5259
Mg65Cu25Gd5Y5 [24],413,486,755,5,0.54702,73,0.4161,0.7404,0.21345,1.4211,0.42695,0.64371,1.7238,2.7738,7.0125
Mg65Cu20Ni5Gd10 [24],420,481,786,5,0.53435,61,0.39884,0.68957,0.16667,1.3142,0.40551,0.61196,1.6796,2.1717,5.6605
Mg65Cu15Ag10Y4Gd6 [24],424,467,682,8,0.6217,43,0.42224,0.7478,0.16667,1.8101,0.44818,0.68475,1.7231,4.2836,7.0824
Mg65Cu15Ag10Y2Gd8 [24],420,464,683,9,0.61493,44,0.42067,0.74378,0.1673,1.7643,0.44537,0.67936,1.7197,4.0633,6.9632
Mg65Cu15Ag10Gd10 [24],416,459,686,7.5,0.60641,43,0.41652,0.73178,0.15926,1.7,0.43835,0.6691,1.7098,3.7056,6.6082
Mg65Cu7.5Ni7.5Ag5Zn5Gd10 [24],440,477,726,11,0.60606,37,0.40909,0.70799,0.12937,1.6678,0.42536,0.65702,1.6902,3.3851,5.9625
Mg65Cu7.5Ni7.5Ag5Zn5Gd7.5Y2.5 [24],438,474,719,13,0.60918,36,0.40968,0.70932,0.12811,1.6868,0.42615,0.65925,1.6914,3.4588,5.9909
Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5 [24],434,472,718,14,0.60446,38,0.40972,0.71031,0.1338,1.662,0.42669,0.65738,1.692,3.385,6.0234
Mg65Cu7.5Ni7.5Ag5Zn5Gd2.5Y7.5 [24],433,473,735,9.5,0.58912,40,0.40497,0.69796,0.13245,1.5662,0.41906,0.64354,1.6815,2.9836,5.7473
Mg65Cu7.5Ni7.5Ag5Zn5Y10 [24],430,459,728,9,0.59066,29,0.39637,0.67033,0.09732,1.5403,0.40167,0.63049,1.6581,2.7276,5.1504
Mg58.5Cu30.5Y11 [24],422,496,762,9,0.55381,74,0.41892,0.74803,0.21765,1.4588,0.43176,0.65092,1.7292,2.9582,7.248
Mg57Cu31.5Y9.2Nd2.3 [24],428,502,777,10,0.55084,74,0.4166,0.74131,0.21203,1.4384,0.42857,0.64607,1.7237,2.8411,7.0315
Mg57Cu31.5Y8Nd3.5 [24],426,501,778,12,0.54756,75,0.41611,0.74036,0.21307,1.4233,0.42713,0.64396,1.7236,2.7816,7.0098
Mg57Cu31Y6.6Nd5.4 [24],427,491,778,14,0.54884,64,0.40747,0.71337,0.18234,1.3989,0.41839,0.63111,1.6987,2.5453,6.2135
Mg65.5Cu25.4Gd9 [24],411,457,741,6,0.55466,46,0.3967,0.67881,0.13939,1.3848,0.40553,0.61673,1.6666,2.3287,5.3821
Mg63.5Cu27.5Gd9 [24],425,469,773,4,0.54981,44,0.39149,0.66365,0.12644,1.3477,0.39752,0.60673,1.6533,2.1568,5.0847
Mg61.5Cu29.5Gd9 [24],433,472,785,4,0.55159,39,0.38752,0.65096,0.1108,1.3409,0.39095,0.60127,1.6417,2.0861,4.8456
Mg65Cu25Gd10 [24],413,473,739,7,0.55886,60,0.41059,0.72124,0.18405,1.4509,0.42413,0.64005,1.7041,2.7609,6.4047
Mg63Cu27Gd10 [24],418,481,755,4,0.55364,63,0.41006,0.72053,0.18694,1.4273,0.42238,0.63709,1.7044,2.6781,6.3971
Mg61Cu29Gd10 [24],420,480,762,4,0.55118,60,0.40609,0.70866,0.17544,1.4035,0.4173,0.62992,1.694,2.5351,6.0849
Mg59Cu31Gd10 [24],424,482,769,4,0.55137,58,0.40402,0.70221,0.16812,1.3971,0.41486,0.62679,1.6882,2.4811,5.9222
Mg64.5Cu24.5Gd11 [24],413,472,739,6,0.55886,59,0.40972,0.71854,0.18098,1.4479,0.42311,0.6387,1.7017,2.7344,6.3297
Mg62.5Cu26.5Gd11 [24],427,483,748,9,0.57086,56,0.41106,0.72059,0.17445,1.5047,0.42694,0.64572,1.702,2.9369,6.3593
Mg60.5Cu28.5Gd11 [24],425,485,755,8,0.56291,60,0.41102,0.72185,0.18182,1.4697,0.42546,0.64238,1.7041,2.8275,6.4123
Mg58.5Cu30.5Gd11 [24],427,490,753,8,0.56707,63,0.41525,0.7344,0.19325,1.5031,0.43131,0.65073,1.7146,3.0249,6.7705
Mg61Cu28Gd11 [24],422,483,737,12,0.57259,61,0.41674,0.73813,0.19365,1.5333,0.43424,0.65536,1.7171,3.1593,6.8732
La66Al14Cu20 [24],395,449,731,2,0.54036,54,0.39876,0.6881,0.16071,1.3363,0.40654,0.61423,1.6771,2.2302,5.6137
